# Author(s); Coelho, Jose and Vanhoucke, Mario;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Reference;Coelho, J., & Vanhoucke, M. (2020). Going to the core of hard resource-constrained project scheduling instances. Computers & Operations Research, 121, 104976. https://doi.org/10.1016/j.cor.2020.104976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Date; 2019/08/01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Hardware / software; STEVIN HPC-UGent infrastructure, C++, compiler intel/2017.02, Linux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Stop criteria(s);Several procedures and stop criteria, the last one with 20 hours. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Submission date; 2020/03/01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;Type;Value;Time;Solution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;heuristic;91;1000;0;6;16;17;23;0;41;27;58;24;51;33;34;66;7;11;17;0;51;59;83;44;74;29;68;0;9;34;91;;;
21;lower bound;79;3600310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;heuristic;59;1000;0;4;6;16;32;0;39;41;42;13;16;0;50;51;50;25;32;36;8;13;18;1;8;7;18;5;0;22;59;;;
22;lower bound;52;3600280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;heuristic;56;1000;0;9;10;14;12;0;5;14;16;29;38;22;0;42;16;33;24;21;50;15;20;40;15;15;12;42;0;5;56;;;
23;lower bound;49;3600240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;heuristic;77;1000;0;3;0;48;0;21;20;60;64;66;59;49;68;59;10;34;10;10;23;0;0;31;28;1;20;21;44;28;77;;;
24;lower bound;68;3600000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;heuristic;47;50;0;1;0;0;3;8;16;7;0;8;1;16;27;18;16;22;24;26;34;31;39;35;27;39;46;39;26;16;47;;;
25;lower bound;45;72000300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;heuristic;59;520;0;18;14;10;25;9;25;0;17;0;17;29;25;10;0;29;41;32;36;31;50;44;51;50;36;57;42;58;19;59;;
26;lower bound;57;72000150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;heuristic;58;50;0;0;6;11;20;19;36;43;46;16;28;5;49;38;55;12;36;49;46;36;10;32;10;20;9;25;0;6;4;58;;
27;lower bound;57;72000280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;heuristic;74;40;0;0;4;0;10;6;20;2;20;40;4;1;26;11;12;30;47;40;30;64;66;56;11;56;64;64;27;49;42;74;;
28;lower bound;70;72000260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;heuristic;66;50;0;0;0;8;9;29;8;27;23;16;19;10;39;11;53;39;37;19;11;63;29;44;44;29;49;53;21;53;0;66;;
29;lower bound;63;72000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;heuristic;68;50;0;0;2;29;27;17;24;5;7;17;25;7;26;25;26;27;39;24;25;12;26;33;2;61;40;49;49;66;58;68;;
30;lower bound;67;72000680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;heuristic;61;50;0;2;4;21;31;4;37;42;44;13;25;0;52;53;52;6;35;38;13;43;6;29;7;16;28;21;0;6;4;61;;
31;lower bound;56;3600470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;heuristic;77;6000;0;0;9;0;15;9;24;10;16;24;57;30;30;59;12;42;68;33;40;33;52;16;59;61;50;50;39;11;68;77;;
32;lower bound;74;3600440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;heuristic;63;50;0;6;0;15;14;6;9;15;0;0;33;25;11;38;12;42;31;13;22;25;11;53;50;44;44;31;44;9;52;63;;
33;lower bound;59;72000260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;heuristic;61;50;0;0;9;23;16;11;8;18;24;31;36;24;11;52;29;42;42;51;23;17;52;24;51;23;27;38;34;12;0;61;;
34;lower bound;55;72000180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;heuristic;51;60;0;9;0;0;7;28;19;15;15;16;12;12;19;20;0;10;35;32;25;32;21;25;34;24;43;35;30;38;42;39;51;
