# Author(s);Watermeyer, K., & Zimmermann, J. ;;;
# Reference;Watermeyer, K., & Zimmermann, J. (2021). A partition-based branch-and-bound algorithm for the project duration problem with partially renewable resources and general temporal constraints. OR Spectrum. https://doi.org/10.1007/s00291-021-00654-9;;;
# Date;09/12/2021;;;
# Hardware / software;Coded in C++, compiled with the 64-bit Visual Studio 2017 C++, and run on a single thread of an Intel Core i7-8700 CPU with 3.2 GHz and 64 GB RAM under Windows 10;;;
# Stop criteria(s);"BB1 procedure, with stop criteria set: 300; 600; 1200; 3600 seconds (detailed results: http://solutionsupdate.ugent.be/sites/default/files/results/josecoelho/2022-03-07/results_BB1_cv.zip)";;;
# Submission date; 2022/03/07;;;
ID;Type;Value;Time;Solution
510;heuristic;57;3600000;
510;lower bound;25;3600000;
511;heuristic;65;3600000;
511;lower bound;30;3600000;
512;optimal;61;625094;
513;heuristic;53;3600000;
513;lower bound;29;3600000;
514;heuristic;61;3600000;
514;lower bound;36;3600000;
515;heuristic;66;3600000;
515;lower bound;36;3600000;
516;heuristic;65;3600000;
516;lower bound;33;3600000;
517;heuristic;71;3600000;
517;lower bound;38;3600000;
518;heuristic;62;3600000;
518;lower bound;28;3600000;
519;heuristic;60;3600000;
519;lower bound;30;3600000;
520;heuristic;64;3600000;
520;lower bound;26;3600000;
521;heuristic;55;3600000;
521;lower bound;25;3600000;
522;heuristic;62;3600000;
522;lower bound;28;3600000;
523;heuristic;58;3600000;
523;lower bound;32;3600000;
524;heuristic;74;3600000;
524;lower bound;34;3600000;
525;heuristic;58;3600000;
525;lower bound;27;3600000;
526;heuristic;72;3600000;
526;lower bound;25;3600000;
527;heuristic;71;3600000;
527;lower bound;39;3600000;
528;heuristic;75;3600000;
528;lower bound;35;3600000;
529;heuristic;62;3600000;
529;lower bound;30;3600000;
530;heuristic;60;3600000;
530;lower bound;25;3600000;
531;heuristic;79;3600000;
531;lower bound;31;3600000;
532;heuristic;61;3600000;
532;lower bound;26;3600000;
533;heuristic;54;3600000;
533;lower bound;25;3600000;
534;optimal;65;3202800;
535;heuristic;67;3600000;
535;lower bound;38;3600000;
536;heuristic;69;3600000;
536;lower bound;34;3600000;
537;heuristic;69;3600000;
537;lower bound;29;3600000;
538;heuristic;56;3600000;
538;lower bound;26;3600000;
539;heuristic;58;3600000;
539;lower bound;27;3600000;
540;heuristic;66;3600000;
540;lower bound;31;3600000;
541;heuristic;67;3600000;
541;lower bound;29;3600000;
542;heuristic;72;3600000;
542;lower bound;26;3600000;
543;heuristic;67;3600000;
543;lower bound;44;3600000;
544;heuristic;58;3600000;
544;lower bound;24;3600000;
545;heuristic;66;3600000;
545;lower bound;28;3600000;
546;heuristic;61;3600000;
546;lower bound;28;3600000;
547;heuristic;64;3600000;
547;lower bound;34;3600000;
548;optimal;55;1955090;
549;heuristic;55;3600000;
549;lower bound;35;3600000;
550;heuristic;74;3600000;
550;lower bound;46;3600000;
551;optimal;74;1197000;
552;heuristic;62;3600000;
552;lower bound;25;3600000;
553;heuristic;71;3600000;
553;lower bound;48;3600000;
554;heuristic;72;3600000;
554;lower bound;37;3600000;
555;heuristic;62;3600000;
555;lower bound;41;3600000;
556;heuristic;55;3600000;
556;lower bound;34;3600000;
557;heuristic;70;3600000;
557;lower bound;44;3600000;
558;heuristic;74;3600000;
558;lower bound;50;3600000;
559;optimal;69;1475010;
560;heuristic;62;3600000;
560;lower bound;37;3600000;
561;heuristic;61;3600000;
561;lower bound;40;3600000;
562;heuristic;51;3600000;
562;lower bound;27;3600000;
563;heuristic;74;3600000;
563;lower bound;42;3600000;
564;optimal;65;796423;
565;heuristic;66;3600000;
565;lower bound;33;3600000;
566;heuristic;64;3600000;
566;lower bound;24;3600000;
567;optimal;65;1821090;
568;heuristic;48;3600000;
568;lower bound;27;3600000;
569;heuristic;54;3600000;
569;lower bound;31;3600000;
570;heuristic;67;3600000;
570;lower bound;40;3600000;
571;optimal;61;701644;
572;heuristic;67;3600000;
572;lower bound;37;3600000;
573;heuristic;79;3600000;
573;lower bound;37;3600000;
574;heuristic;72;3600000;
574;lower bound;32;3600000;
575;heuristic;65;3600000;
575;lower bound;45;3600000;
576;heuristic;64;3600000;
576;lower bound;34;3600000;
577;heuristic;71;3600000;
577;lower bound;32;3600000;
578;heuristic;65;3600000;
578;lower bound;29;3600000;
579;heuristic;55;3600000;
579;lower bound;36;3600000;
580;heuristic;46;3600000;
580;lower bound;30;3600000;
581;heuristic;63;3600000;
581;lower bound;42;3600000;
582;heuristic;59;3600000;
582;lower bound;37;3600000;
583;heuristic;67;3600000;
583;lower bound;53;3600000;
584;heuristic;53;3600000;
584;lower bound;31;3600000;
585;heuristic;54;3600000;
585;lower bound;26;3600000;
586;heuristic;57;3600000;
586;lower bound;28;3600000;
587;heuristic;65;3600000;
587;lower bound;45;3600000;
588;heuristic;65;3600000;
588;lower bound;44;3600000;
589;heuristic;69;3600000;
589;lower bound;42;3600000;
590;heuristic;63;3600000;
590;lower bound;44;3600000;
591;heuristic;63;3600000;
591;lower bound;39;3600000;
592;heuristic;71;3600000;
592;lower bound;33;3600000;
593;heuristic;71;3600000;
593;lower bound;35;3600000;
594;heuristic;64;3600000;
594;lower bound;34;3600000;
595;heuristic;79;3600000;
595;lower bound;33;3600000;
596;heuristic;65;3600000;
596;lower bound;26;3600000;
597;heuristic;79;3600000;
597;lower bound;44;3600000;
598;heuristic;67;3600000;
598;lower bound;45;3600000;
599;heuristic;67;3600000;
599;lower bound;25;3600000;
600;heuristic;69;3600000;
600;lower bound;36;3600000;
601;optimal;65;2262370;
602;heuristic;70;3600000;
602;lower bound;30;3600000;
603;heuristic;63;3600000;
603;lower bound;36;3600000;
604;heuristic;64;3600000;
604;lower bound;35;3600000;
605;heuristic;71;3600000;
605;lower bound;42;3600000;
606;heuristic;69;3600000;
606;lower bound;33;3600000;
607;heuristic;73;3600000;
607;lower bound;40;3600000;
608;heuristic;70;3600000;
608;lower bound;31;3600000;
609;heuristic;82;3600000;
609;lower bound;47;3600000;
610;optimal;68;2409640;
611;heuristic;76;3600000;
611;lower bound;53;3600000;
612;heuristic;70;3600000;
612;lower bound;38;3600000;
613;heuristic;74;3600000;
613;lower bound;37;3600000;
614;optimal;68;1527750;
615;optimal;53;2623070;
616;heuristic;63;3600000;
616;lower bound;32;3600000;
617;optimal;59;2832540;
618;heuristic;62;3600000;
618;lower bound;36;3600000;
619;optimal;67;1467980;
620;heuristic;72;3600000;
620;lower bound;40;3600000;
621;optimal;65;378909;
622;heuristic;69;3600000;
622;lower bound;34;3600000;
623;heuristic;74;3600000;
623;lower bound;34;3600000;
