# Author(s);Watermeyer, K., & Zimmermann, J. ;;;
# Reference;Watermeyer, K., & Zimmermann, J. (2021). A partition-based branch-and-bound algorithm for the project duration problem with partially renewable resources and general temporal constraints. OR Spectrum. https://doi.org/10.1007/s00291-021-00654-9;;;
# Date;09/12/2021;;;
# Hardware / software;Coded in C++, compiled with the 64-bit Visual Studio 2017 C++, and run on a single thread of an Intel Core i7-8700 CPU with 3.2 GHz and 64 GB RAM under Windows 10;;;
# Stop criteria(s);"BB1 procedure, with stop criteria set: 300; 600; 1200; 3600 seconds (detailed results: http://solutionsupdate.ugent.be/sites/default/files/results/josecoelho/2022-03-07/results_BB1_cv.zip)";;;
# Submission date; 2022/03/07;;;
ID;Type;Value;Time;Solution
117;lower bound;32;3600000;
118;heuristic;65;3600000;
118;lower bound;33;3600000;
119;optimal;74;92657;
120;optimal;68;870977;
121;heuristic;72;3600000;
121;lower bound;53;3600000;
122;optimal;57;2061140;
123;optimal;65;235751;
124;heuristic;61;3600000;
124;lower bound;32;3600000;
125;heuristic;60;3600000;
125;lower bound;37;3600000;
126;optimal;70;816540;
127;heuristic;60;3600000;
127;lower bound;27;3600000;
128;optimal;55;801512;
129;optimal;48;212002;
130;heuristic;49;3600000;
130;lower bound;21;3600000;
131;optimal;49;110078;
132;heuristic;43;3600000;
132;lower bound;24;3600000;
133;heuristic;50;3600000;
133;lower bound;32;3600000;
134;optimal;58;906421;
135;heuristic;45;3600000;
135;lower bound;26;3600000;
136;heuristic;56;3600000;
136;lower bound;30;3600000;
137;heuristic;44;3600000;
137;lower bound;27;3600000;
138;heuristic;54;3600000;
138;lower bound;29;3600000;
139;heuristic;55;3600000;
139;lower bound;28;3600000;
140;heuristic;46;3600000;
140;lower bound;25;3600000;
141;heuristic;48;3600000;
141;lower bound;28;3600000;
142;heuristic;50;3600000;
142;lower bound;34;3600000;
143;optimal;42;2266460;
144;heuristic;51;3600000;
144;lower bound;27;3600000;
145;optimal;56;1321830;
146;heuristic;51;3600000;
146;lower bound;25;3600000;
147;heuristic;59;3600000;
147;lower bound;37;3600000;
148;heuristic;49;3600000;
148;lower bound;29;3600000;
149;heuristic;57;3600000;
149;lower bound;28;3600000;
150;heuristic;56;3600000;
150;lower bound;26;3600000;
151;heuristic;72;3600000;
151;lower bound;42;3600000;
152;heuristic;43;3600000;
152;lower bound;27;3600000;
153;optimal;68;882570;
154;heuristic;47;3600000;
154;lower bound;27;3600000;
155;optimal;44;347294;
156;heuristic;50;3600000;
156;lower bound;28;3600000;
157;optimal;41;633172;
158;heuristic;42;3600000;
158;lower bound;23;3600000;
159;optimal;52;1536180;
160;heuristic;65;3600000;
160;lower bound;43;3600000;
161;optimal;45;3559810;
162;optimal;51;283137;
163;optimal;56;28730;
164;optimal;42;1739840;
165;heuristic;60;3600000;
165;lower bound;39;3600000;
166;heuristic;49;3600000;
166;lower bound;28;3600000;
167;heuristic;52;3600000;
167;lower bound;28;3600000;
168;heuristic;54;3600000;
168;lower bound;30;3600000;
169;optimal;47;2882870;
170;heuristic;74;3600000;
170;lower bound;40;3600000;
171;optimal;61;2505750;
172;optimal;53;1035960;
173;heuristic;70;3600000;
173;lower bound;34;3600000;
174;heuristic;75;3600000;
174;lower bound;33;3600000;
175;heuristic;68;3600000;
175;lower bound;30;3600000;
176;optimal;65;333289;
177;optimal;51;1298870;
178;heuristic;48;3600000;
178;lower bound;33;3600000;
179;heuristic;76;3600000;
179;lower bound;36;3600000;
180;optimal;51;1216480;
181;heuristic;48;3600000;
181;lower bound;27;3600000;
182;heuristic;48;3600000;
182;lower bound;28;3600000;
183;optimal;66;544034;
184;heuristic;53;3600000;
184;lower bound;30;3600000;
185;heuristic;54;3600000;
185;lower bound;27;3600000;
186;heuristic;63;3600000;
186;lower bound;29;3600000;
187;heuristic;47;3600000;
187;lower bound;27;3600000;
188;heuristic;70;3600000;
188;lower bound;21;3600000;
189;heuristic;43;3600000;
189;lower bound;19;3600000;
190;heuristic;64;3600000;
190;lower bound;26;3600000;
191;heuristic;75;3600000;
191;lower bound;37;3600000;
192;optimal;56;111567;
193;heuristic;57;3600000;
193;lower bound;32;3600000;
194;optimal;61;1221520;
195;heuristic;52;3600000;
195;lower bound;35;3600000;
196;heuristic;79;3600000;
196;lower bound;47;3600000;
197;optimal;65;150665;
198;heuristic;69;3600000;
198;lower bound;35;3600000;
199;optimal;51;88306;
200;heuristic;79;3600000;
200;lower bound;40;3600000;
201;optimal;52;204116;
202;optimal;61;3550430;
203;optimal;58;383007;
204;heuristic;65;3600000;
204;lower bound;27;3600000;
205;heuristic;65;3600000;
205;lower bound;39;3600000;
206;heuristic;84;3600000;
206;lower bound;46;3600000;
207;heuristic;54;3600000;
207;lower bound;29;3600000;
208;optimal;61;3487130;
209;heuristic;62;3600000;
209;lower bound;33;3600000;
210;heuristic;83;3600000;
210;lower bound;46;3600000;
211;heuristic;59;3600000;
211;lower bound;34;3600000;
212;heuristic;57;3600000;
212;lower bound;24;3600000;
213;heuristic;67;3600000;
213;lower bound;29;3600000;
214;optimal;68;1620370;
215;heuristic;72;3600000;
215;lower bound;36;3600000;
216;optimal;51;833665;
217;optimal;73;408913;
218;optimal;52;213824;
219;optimal;58;1111590;
220;heuristic;47;3600000;
220;lower bound;32;3600000;
221;heuristic;50;3600000;
221;lower bound;35;3600000;
222;optimal;69;116597;
223;heuristic;31;3600000;
223;lower bound;22;3600000;
224;heuristic;55;3600000;
224;lower bound;33;3600000;
225;heuristic;60;3600000;
225;lower bound;35;3600000;
226;heuristic;50;3600000;
226;lower bound;33;3600000;
227;heuristic;53;3600000;
227;lower bound;27;3600000;
228;heuristic;57;3600000;
228;lower bound;29;3600000;
229;heuristic;68;3600000;
229;lower bound;34;3600000;
230;optimal;56;213392;
231;optimal;69;2915630;
232;heuristic;55;3600000;
232;lower bound;26;3600000;
233;heuristic;50;3600000;
233;lower bound;25;3600000;
234;heuristic;57;3600000;
234;lower bound;43;3600000;
235;heuristic;54;3600000;
235;lower bound;28;3600000;
236;heuristic;64;3600000;
236;lower bound;41;3600000;
237;heuristic;58;3600000;
237;lower bound;39;3600000;
238;heuristic;55;3600000;
238;lower bound;31;3600000;
239;heuristic;53;3600000;
239;lower bound;26;3600000;
240;heuristic;59;3600000;
240;lower bound;28;3600000;
241;optimal;58;2619800;
242;heuristic;79;3600000;
242;lower bound;39;3600000;
243;heuristic;89;3600000;
243;lower bound;44;3600000;
244;heuristic;41;3600000;
244;lower bound;25;3600000;
245;heuristic;55;3600000;
245;lower bound;31;3600000;
246;heuristic;70;3600000;
246;lower bound;28;3600000;
247;heuristic;56;3600000;
247;lower bound;33;3600000;
248;heuristic;66;3600000;
248;lower bound;45;3600000;
249;heuristic;68;3600000;
249;lower bound;49;3600000;
250;heuristic;67;3600000;
250;lower bound;32;3600000;
251;heuristic;75;3600000;
251;lower bound;31;3600000;
252;heuristic;72;3600000;
252;lower bound;46;3600000;
253;heuristic;68;3600000;
253;lower bound;33;3600000;
254;optimal;60;975108;
255;heuristic;73;3600000;
255;lower bound;37;3600000;
256;heuristic;70;3600000;
256;lower bound;32;3600000;
257;optimal;67;1898220;
258;heuristic;71;3600000;
258;lower bound;40;3600000;
259;optimal;60;2146960;
260;optimal;65;471408;
261;heuristic;64;3600000;
261;lower bound;34;3600000;
262;optimal;65;1265650;
263;heuristic;51;3600000;
263;lower bound;27;3600000;
264;optimal;57;2253620;
265;optimal;59;68649;
266;optimal;68;2281520;
267;optimal;68;292791;
268;heuristic;74;3600000;
268;lower bound;38;3600000;
269;heuristic;61;3600000;
269;lower bound;26;3600000;
270;heuristic;72;3600000;
270;lower bound;43;3600000;
271;heuristic;61;3600000;
271;lower bound;34;3600000;
272;heuristic;60;3600000;
272;lower bound;27;3600000;
273;optimal;66;1210490;
274;heuristic;51;3600000;
274;lower bound;25;3600000;
275;heuristic;56;3600000;
275;lower bound;28;3600000;
276;heuristic;82;3600000;
276;lower bound;40;3600000;
277;heuristic;58;3600000;
277;lower bound;34;3600000;
278;optimal;46;715456;
279;optimal;64;3522640;
280;heuristic;54;3600000;
280;lower bound;26;3600000;
281;heuristic;58;3600000;
281;lower bound;33;3600000;
282;heuristic;74;3600000;
282;lower bound;37;3600000;
283;heuristic;75;3600000;
283;lower bound;35;3600000;
284;optimal;55;2437570;
285;optimal;51;1942230;
286;heuristic;67;3600000;
286;lower bound;35;3600000;
287;optimal;74;3263110;
288;optimal;61;57698;
289;optimal;74;1364850;
290;optimal;65;415154;
291;heuristic;54;3600000;
291;lower bound;46;3600000;
292;heuristic;64;3600000;
292;lower bound;33;3600000;
293;optimal;67;585732;
294;heuristic;67;3600000;
294;lower bound;29;3600000;
295;heuristic;64;3600000;
295;lower bound;31;3600000;
296;optimal;47;1192230;
297;optimal;51;3376150;
298;heuristic;46;3600000;
298;lower bound;27;3600000;
299;heuristic;62;3600000;
299;lower bound;36;3600000;
300;heuristic;70;3600000;
300;lower bound;40;3600000;
301;heuristic;67;3600000;
301;lower bound;38;3600000;
302;heuristic;54;3600000;
302;lower bound;35;3600000;
303;optimal;45;3565490;
304;heuristic;65;3600000;
304;lower bound;42;3600000;
305;heuristic;39;3600000;
305;lower bound;26;3600000;
306;optimal;58;2421810;
307;optimal;66;134763;
308;heuristic;88;3600000;
308;lower bound;56;3600000;
309;heuristic;78;3600000;
309;lower bound;39;3600000;
310;heuristic;69;3600000;
310;lower bound;38;3600000;
311;heuristic;68;3600000;
311;lower bound;34;3600000;
312;optimal;43;787310;
313;optimal;61;104858;
314;heuristic;56;3600000;
314;lower bound;35;3600000;
315;heuristic;61;3600000;
315;lower bound;43;3600000;
316;heuristic;78;3600000;
316;lower bound;36;3600000;
317;heuristic;73;3600000;
317;lower bound;48;3600000;
318;optimal;58;15723;
319;heuristic;61;3600000;
319;lower bound;30;3600000;
320;optimal;69;2156030;
321;heuristic;81;3600000;
321;lower bound;32;3600000;
322;optimal;74;2940140;
323;heuristic;71;3600000;
323;lower bound;32;3600000;
324;optimal;81;901079;
325;heuristic;67;3600000;
325;lower bound;30;3600000;
326;optimal;53;1106930;
327;heuristic;66;3600000;
327;lower bound;30;3600000;
328;heuristic;64;3600000;
328;lower bound;37;3600000;
329;heuristic;66;3600000;
329;lower bound;39;3600000;
330;heuristic;70;3600000;
330;lower bound;38;3600000;
331;optimal;72;614162;
332;heuristic;72;3600000;
332;lower bound;37;3600000;
333;heuristic;57;3600000;
333;lower bound;35;3600000;
334;heuristic;77;3600000;
334;lower bound;40;3600000;
335;optimal;77;3467420;
336;heuristic;74;3600000;
336;lower bound;36;3600000;
337;optimal;65;637120;
338;heuristic;74;3600000;
338;lower bound;47;3600000;
339;heuristic;88;3600000;
339;lower bound;52;3600000;
340;heuristic;80;3600000;
340;lower bound;47;3600000;
341;heuristic;71;3600000;
341;lower bound;36;3600000;
342;heuristic;62;3600000;
342;lower bound;33;3600000;
343;heuristic;69;3600000;
343;lower bound;42;3600000;
344;heuristic;68;3600000;
344;lower bound;42;3600000;
345;heuristic;58;3600000;
345;lower bound;27;3600000;
346;heuristic;65;3600000;
346;lower bound;33;3600000;
347;heuristic;64;3600000;
347;lower bound;36;3600000;
348;heuristic;86;3600000;
348;lower bound;43;3600000;
349;optimal;75;2471740;
350;heuristic;73;3600000;
350;lower bound;46;3600000;
351;optimal;69;1563240;
352;heuristic;66;3600000;
352;lower bound;38;3600000;
353;optimal;69;271461;
354;heuristic;69;3600000;
354;lower bound;31;3600000;
355;optimal;60;902388;
356;heuristic;76;3600000;
356;lower bound;46;3600000;
357;heuristic;69;3600000;
357;lower bound;42;3600000;
358;optimal;70;3384960;
359;heuristic;56;3600000;
359;lower bound;32;3600000;
360;optimal;66;1434610;
361;optimal;68;1493890;
362;optimal;66;936576;
363;optimal;62;77978;
364;optimal;67;1160970;
365;heuristic;63;3600000;
365;lower bound;36;3600000;
366;optimal;55;790851;
367;heuristic;67;3600000;
367;lower bound;36;3600000;
368;optimal;50;444542;
369;heuristic;70;3600000;
369;lower bound;38;3600000;
370;heuristic;63;3600000;
370;lower bound;32;3600000;
371;optimal;45;3309090;
372;optimal;49;426899;
373;heuristic;67;3600000;
373;lower bound;32;3600000;
374;heuristic;72;3600000;
374;lower bound;44;3600000;
375;heuristic;59;3600000;
375;lower bound;36;3600000;
376;optimal;60;606668;
377;optimal;57;70747;
378;heuristic;73;3600000;
378;lower bound;44;3600000;
379;heuristic;74;3600000;
379;lower bound;42;3600000;
380;heuristic;74;3600000;
380;lower bound;42;3600000;
381;heuristic;79;3600000;
381;lower bound;35;3600000;
382;optimal;74;2107150;
383;optimal;61;136407;
384;optimal;53;672166;
385;optimal;59;1846200;
386;heuristic;73;3600000;
386;lower bound;36;3600000;
387;heuristic;72;3600000;
387;lower bound;45;3600000;
388;heuristic;60;3600000;
388;lower bound;28;3600000;
389;heuristic;59;3600000;
389;lower bound;40;3600000;
390;optimal;67;1869370;
391;heuristic;83;3600000;
391;lower bound;47;3600000;
392;heuristic;61;3600000;
392;lower bound;39;3600000;
393;heuristic;84;3600000;
393;lower bound;43;3600000;
394;heuristic;44;3600000;
394;lower bound;28;3600000;
395;optimal;67;169798;
396;heuristic;66;3600000;
396;lower bound;47;3600000;
397;heuristic;62;3600000;
397;lower bound;34;3600000;
